DATES;TICKER
01/01/2019;GLPG NA
01/01/2019;GMAB DC
01/01/2019;GN DC
01/01/2019;GPOR LN
01/01/2019;GRF SQ
01/01/2019;GRG LN
01/01/2019;GSK LN
01/01/2019;GVC LN
01/01/2019;GYC GY
01/01/2019;HAS LN
01/01/2019;HEI GY
01/01/2019;HEIA NA
01/01/2019;HEIO NA
01/01/2019;HELN SE
01/01/2019;HEN3 GY
01/01/2019;HER IM
01/01/2019;HEXAB SS
01/01/2019;HFG GY
01/01/2019;HIK LN
01/01/2019;HL/ LN
01/01/2019;HLE GY
01/01/2019;HLMA LN
01/01/2019;HMB SS
01/01/2019;HMSO LN
01/01/2019;HNR1 GY
01/01/2019;HO FP
01/01/2019;HOLMB SS
01/01/2019;HOT GY
01/01/2019;HPOLB SS
01/01/2019;HSBA LN
01/01/2019;HSV LN
01/01/2019;HSX LN
01/01/2019;HUH1V FH
01/01/2019;HUSQB SS
01/01/2019;HWDN LN
01/01/2019;IAG LN
01/01/2019;IBE SQ
01/01/2019;ICA SS
01/01/2019;ICAD FP
01/01/2019;ICP LN
01/01/2019;IFX GY
01/01/2019;IG IM
01/01/2019;IGG LN
01/01/2019;IHG LN
01/01/2019;IIA AV
01/01/2019;III LN
01/01/2019;ILD FP
01/01/2019;IMB LN
01/01/2019;IMCD NA
01/01/2019;IMI LN
01/01/2019;INCH LN
01/01/2019;INDT SS
01/01/2019;INDUA SS
01/01/2019;INF LN
01/01/2019;ING FP
01/01/2019;INGA NA
01/01/2019;INVEB SS
01/01/2019;INVP LN
01/01/2019;IP IM
01/01/2019;IPN FP
01/01/2019;ISP IM
01/01/2019;ISS DC
01/01/2019;ITRK LN
01/01/2019;ITV LN
01/01/2019;ITX SQ
01/01/2019;IWG LN
01/01/2019;JD/ LN
01/01/2019;JE/ LN
01/01/2019;JMAT LN
01/01/2019;JMT PL
01/01/2019;JUP LN
01/01/2019;KBC BB
01/01/2019;KBX GY
01/01/2019;KER FP
01/01/2019;KESKOB FH
01/01/2019;KGF LN
01/01/2019;KGH PW
01/01/2019;KGX GY
01/01/2019;KINVB SS
01/01/2019;KN FP
01/01/2019;KNEBV FH
01/01/2019;KNIN SE
01/01/2019;KOJAMO FH
01/01/2019;KPN NA
01/01/2019;KSP ID
01/01/2019;KYG ID
01/01/2019;LAND LN
01/01/2019;LDO IM
01/01/2019;LEG GY
01/01/2019;LGEN LN
01/01/2019;LHA GY
01/01/2019;LHN SE
01/01/2019;LI FP
01/01/2019;LIGHT NA
01/01/2019;LIN GY
01/01/2019;LISN SE
01/01/2019;LLOY LN
01/01/2019;LOGN SE
01/01/2019;LONN SE
01/01/2019;LOOMB SS
01/01/2019;LPP PW
01/01/2019;LR FP
01/01/2019;LSE LN
01/01/2019;LUN DC
01/01/2019;LUNDB SS
01/01/2019;LUPE SS
01/01/2019;LXS GY
01/01/2019;MAERSKB DC
01/01/2019;MAP SQ
01/01/2019;MB IM
01/01/2019;MC FP
01/01/2019;MCRO LN
01/01/2019;METSO FH
01/01/2019;MF FP
01/01/2019;MGGT LN
01/01/2019;MKS LN
01/01/2019;ML FP
01/01/2019;MMB FP
01/01/2019;MNDI LN
01/01/2019;MNG LN
01/01/2019;MONC IM
01/01/2019;MONY LN
01/01/2019;MOR GY
01/01/2019;MOWI NO
01/01/2019;MRK GY
01/01/2019;MRL SQ
01/01/2019;MRO LN
01/01/2019;MRW LN
01/01/2019;MT NA
01/01/2019;MTX GY
01/01/2019;MUV2 GY
01/01/2019;NDA SS
01/01/2019;NEM GY
01/01/2019;NESN SE
01/01/2019;NESTE FH
01/01/2019;NETW LN
01/01/2019;NEXI IM
01/01/2019;NG/ LN
01/01/2019;NHY NO
01/01/2019;NIBEB SS
01/01/2019;NMC LN
01/01/2019;NN NA
01/01/2019;NOKIA FH
01/01/2019;NOVN SE
01/01/2019;NOVOB DC
01/01/2019;NTGY SQ
01/01/2019;NXT LN
01/01/2019;NZYMB DC
01/01/2019;O2D GY
01/01/2019;OCDO LN
01/01/2019;OERL SE
01/01/2019;OMU LN
01/01/2019;OMV AV
01/01/2019;OR FP
01/01/2019;ORA FP
01/01/2019;ORK NO
01/01/2019;ORNBV FH
01/01/2019;ORP FP
01/01/2019;ORSTED DC
01/01/2019;OSR GY
01/01/2019;PAH3 GY
01/01/2019;PARG SE
01/01/2019;PEO PW
01/01/2019;PGHN SE
01/01/2019;PHIA NA
01/01/2019;PHNX LN
01/01/2019;PIRC IM
01/01/2019;PKN PW
01/01/2019;PKO PW
01/01/2019;PNDORA DC
01/01/2019;PNN LN
01/01/2019;POLY LN
01/01/2019;PROX BB
01/01/2019;PRU LN
01/01/2019;PRX NA
01/01/2019;PRY IM
01/01/2019;PSM GY
01/01/2019;PSN LN
01/01/2019;PSON LN
01/01/2019;PSPN SE
01/01/2019;PST IM
01/01/2019;PUB FP
01/01/2019;PUM GY
01/01/2019;PZU PW
01/01/2019;QIA GY
01/01/2019;QLT LN
01/01/2019;RACE IM
01/01/2019;RAND NA
01/01/2019;RB/ LN
01/01/2019;RBI AV
01/01/2019;RBREW DC
01/01/2019;RBS LN
01/01/2019;RCO FP
01/01/2019;RDSA NA
01/01/2019;REC IM
01/01/2019;REE SQ
01/01/2019;REL LN
01/01/2019;REP SQ
01/01/2019;RF FP
01/01/2019;RHM GY
01/01/2019;RI FP
01/01/2019;RIO LN
01/01/2019;RMG LN
01/01/2019;RMS FP
01/01/2019;RMV LN
01/01/2019;RNO FP
01/01/2019;ROG SE
01/01/2019;ROR LN
01/01/2019;RR/ LN
01/01/2019;RSA LN
01/01/2019;RTO LN
01/01/2019;RUI FP
01/01/2019;RWE GY
01/01/2019;RXL FP
01/01/2019;RYA ID
01/01/2019;SAABB SS
01/01/2019;SAB SQ
01/01/2019;SAF FP
01/01/2019;SALM NO
01/01/2019;SAMPO FH
01/01/2019;SAN FP
01/01/2019;SAN SQ
01/01/2019;SAND SS
01/01/2019;SAP GY
01/01/2019;SBMO NA
01/01/2019;SBRY LN
01/01/2019;SCAB SS
01/01/2019;SCHA NO
01/01/2019;SCHP SE
01/01/2019;SCMN SE
01/01/2019;SCR FP
01/01/2019;SDF GY
01/01/2019;SDR LN
01/01/2019;SEBA SS
01/01/2019;SECUB SS
01/01/2019;SESG FP
01/01/2019;SEV FP
01/01/2019;SGE LN
01/01/2019;SGO FP
01/01/2019;SGRE SQ
01/01/2019;SGRO LN
01/01/2019;SGSN SE
01/01/2019;SHBA SS
01/01/2019;SHL GY
01/01/2019;SIE GY
01/01/2019;SIG LN
01/01/2019;SIGN SE
01/01/2019;SIKA SE
01/01/2019;SIM DC
01/01/2019;SK FP
01/01/2019;SKAB SS
01/01/2019;SKFB SS
01/01/2019;SKG ID
01/01/2019;SLA LN
01/01/2019;SLHN SE
