;fichier_univers;fichier_cours;fichier_bench;date_debut;date_fin;type_periode_calc;periodicite;type_pas;nb_pas;nb_titres;nb_titres_turnover;prct_na;Perf_PRTF;Perf_Bench
28;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;1;50;7;0.250000000000000;0.526551856121840;0.136764987288483
29;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;1;50;8;0.250000000000000;0.512065689883336;0.136764987288483
30;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;1;50;9;0.250000000000000;0.501982026193970;0.136764987288483
31;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;12;months;1;50;10;0.250000000000000;0.505205776769168;0.136764987288483
32;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;2;50;3;0.250000000000000;0.542610621707909;0.136764987288482
33;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;2;50;4;0.250000000000000;0.596090269742328;0.136764987288482
34;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;2;50;5;0.250000000000000;0.572908839205216;0.136764987288482
35;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;2;50;6;0.250000000000000;0.570190282034249;0.136764987288482
36;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;2;50;7;0.250000000000000;0.545269973009711;0.136764987288482
37;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;2;50;8;0.250000000000000;0.582921542835248;0.136764987288482
38;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;2;50;9;0.250000000000000;0.596741690409166;0.136764987288482
39;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;3;months;2;50;10;0.250000000000000;0.605269353161379;0.136764987288482
40;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;2;50;3;0.250000000000000;0.558101326559307;0.136764987288482
41;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;2;50;4;0.250000000000000;0.525497862701988;0.136764987288482
42;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;2;50;5;0.250000000000000;0.544204679612330;0.136764987288482
43;./data/Histo_Univers.csv;./data/Histo_Cours.csv;./data/Histo_Bench.csv;01/01/2016;01/01/2020;months;6;months;2;50;6;0.250000000000000;0.460329626698629;0.136764987288482
